,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
15932,46878567,Инженер-программист,Пермь,30000.0,31500.0,RUR,True
15936,46879012,Специалист по работе с клиентами,Ульяновск,40000.0,,RUR,False
15938,46879112,Инженер-программист - САПР,Миасс,,,,
15939,46879187,IOS разработчик,Томск,80000.0,150000.0,RUR,False
15941,46879293,Junior IOS разработчик,Томск,30000.0,70000.0,RUR,False
15945,46881328,Программист 1C,Рязань,69000.0,78000.0,RUR,False
15947,46882864,Инженер по тестированию web-приложений,Москва,140000.0,200000.0,RUR,False
15948,46882947,Android developer,Санкт-Петербург,,,,
15949,46883050,Ведущий программист 1С,Москва,,,,
15951,46883122,Backend developer микросервисов (Scala/Java),Москва,,,,
15954,46883370,Аналитик по продукту (информационная безопасность),Москва,,,,
15955,46883465,Инженер службы мониторинга и технической поддержки/ Специалист Helpdesk,Москва,35000.0,57400.0,RUR,True
15962,46885174,Разработчик аналитических систем,Москва,,,,
15964,46885489,Начинающий специалист по работе с клиентами(удаленно),Ростов-на-Дону,25000.0,50000.0,RUR,False
15966,46885525,Специалист технической поддержки (удаленно),Казань,,30000.0,RUR,True
15967,46885538,Специалист технической поддержки (удаленно),Ульяновск,25000.0,,RUR,True
15969,46885732,Специалист технической поддержки (удаленно),Рязань,,30000.0,RUR,True
15970,46886591,Системный аналитик,Москва,,,,
15971,46886604,Системный аналитик (СберИнвестор),Москва,,,,
15979,46888755,Системный администратор Linux,Москва,,,,
15980,46889629,Младший программист-разработчик 1С,Санкт-Петербург,60000.0,70000.0,RUR,False
15981,46889639,Разработчик интерфейсов (Программист на QT/PyQT),Москва,90000.0,150000.0,RUR,True
15982,46889644,Системный аналитик (мобильное приложение),Москва,,,,
15984,46889685,Python разработчик (Junior+/Middle),Москва,,,,
15995,46891221,Системный администратор,Тверь,,60000.0,RUR,False
15996,46891280,Программист C# + SQL,Москва,160000.0,,RUR,False
15997,46891296,Программист (VB + SQL),Москва,130000.0,,RUR,False
15998,46891474,Консультант 1С,Красноярск,,,,
16000,46891723,Специалист технической поддержки (1 линия),Белгород,,40000.0,RUR,False
16003,46892441,Разработчик С#/C++,Москва,150000.0,,RUR,True
16004,46892505,Java/Kotlin разработчик,Москва,,,,
16005,46892724,Системный администратор,Чебоксары,,,,
16006,46893000,Системный аналитик,Москва,,,,
16009,46893461,Middle/Senior Java Developer (удаленно),Новосибирск,,,,
