,id,area_name,address_lat,address_lng,employer_id,employer_name
38737,48590226,Кормиловка,,,3634424,Ростелеком Контакт-центр
38738,48590227,Лузино,,,3634424,Ростелеком Контакт-центр
38740,48590229,Москаленки,,,3634424,Ростелеком Контакт-центр
38742,48590231,Оконешниково,,,3634424,Ростелеком Контакт-центр
38743,48590232,Ростовка,,,3634424,Ростелеком Контакт-центр
38744,48590233,Тара,,,3634424,Ростелеком Контакт-центр
38749,48590498,Пермь,57.919701,56.019345,560799,Международный аэропорт Пермь
38751,48590704,Новосибирск,55.036778,82.914896,549399,"Обновление, ПФК"
38752,48590727,Омск,54.93584,73.305626,735125,Сибирские колбасы
38753,48590741,Находка,42.793532,132.870398,3507988,Находкинский морской рыбный порт
38763,48591206,Хабаровск,,,113649,UserGate
38764,48591446,Тольятти,53.570872,49.266431,3273283,Самара-1
38766,48591460,Челябинск,55.143286,61.396688,225010,Крановые технологии
38767,48591463,Кемерово,55.317297,86.136057,2625279,Бастет-Авто
38770,48591555,Краснодар,45.049679,38.964443,1217313,МегаФон Ритейл
38775,48591990,Дзержинск (Нижегородская область),56.263027,43.39815,897169,ХРОМОС Инжиниринг
