,employer_name,conditions
737,Condé Nast,Agile-команда
738,Condé Nast,ДМС
739,Connect Клуб,Гибкий график
740,Consulty,Удаленка/гибрид
741,Convergent,Профессиональный рост
742,ConversionAdvocates,Удаленка/гибрид
743,Cool.club,Гибкий график
744,Cool.club,Удаленка/гибрид
745,Coral Club,Agile-команда
746,Coral Club,Гибкий график
747,Coral Club,Профессиональный рост
748,CorePartners,Гибкий график
749,CorePartners,Удаленка/гибрид
750,Corrily,Гибкий график
751,Corrily,Удаленка/гибрид
752,Coskunoz Holding,Оформление по ТК
753,Cosmos Hotel Group,Корпоративный спорт
754,CosySoft,Agile-команда
755,CosySoft,Гибкий график
756,Cotton Club (Коттон Клаб),Оформление по ТК
757,Country Digital Studio,Удаленка/гибрид
758,Craft Games - разработка и продвижение игр для мобильных устройств,Удаленка/гибрид
759,Creative,Оформление по ТК
760,CreativeCo,Гибкий график
761,CreativeCo,Удаленка/гибрид
762,Credit.Club,ДМС
763,Credit.Club,Корпоративный английский
764,Credit.Club,Оформление по ТК
765,Credit.Club,Профессиональный рост
766,Creditexpress,Оформление по ТК
767,Creonit,Корпоративный спорт
768,Creonit,Оформление по ТК
769,Crocus Group,Корпоративный спорт
770,Crocus Group,Оформление по ТК
771,Crocus Group,Удаленка/гибрид
772,Crooto,Оформление по ТК
773,Crooto,Удаленка/гибрид
774,Crowne Plaza Moscow - Park Huaming,Профессиональный рост
775,Cryptopay,Удаленка/гибрид
776,Ctrl2GO,Agile-команда
777,Ctrl2GO,ДМС
778,Ctrl2GO,Оформление по ТК
779,CyberHULL (ООО Киберкор),Удаленка/гибрид
780,CyberZilla,Гибкий график
781,CyberZilla,Удаленка/гибрид
782,Cинтез-АТ,Гибкий график
783,D-Partners,Гибкий график
784,D-style,Удаленка/гибрид
785,DAIMLER KAMAZ RUS,ДМС
786,DAIMLER KAMAZ RUS,Корпоративный мобильный
787,DAIMLER KAMAZ RUS,Корпоративный спорт
788,DAIMLER KAMAZ RUS,Оформление по ТК
789,DAIMLER KAMAZ RUS,Удаленка/гибрид
790,DAR Tech,Удаленка/гибрид
791,DATS.TEAM,Agile-команда
792,DATS.TEAM,Гибкий график
793,DATS.TEAM,Корпоративный спорт
794,DATS.TEAM,Оформление по ТК
795,DATS.TEAM,Удаленка/гибрид
796,DATUM Group (Датум Групп),Agile-команда
797,DATUM Group (Датум Групп),Оформление по ТК
798,DATUM Group (Датум Групп),Профессиональный рост
799,DATUM Group (Датум Групп),Удаленка/гибрид
800,DBI,Гибкий график
801,DBI,Корпоративный спорт
802,DBI,Оформление по ТК
803,DDG,Гибкий график
804,DDG,Оформление по ТК
805,DDPlanet,Гибкий график
806,DDPlanet,Корпоративный спорт
807,DDPlanet,Профессиональный рост
808,DDPlanet,Удаленка/гибрид
809,DEEP & HARD,Agile-команда
810,DEFA,Оформление по ТК
811,DEFA,Удаленка/гибрид
812,DEPO Computers,Корпоративный спорт
813,DHL Express,Agile-команда
814,DHL Express,ДМС
815,DHL Express,Удаленка/гибрид
816,DHL Freight Russia,Agile-команда
817,DIGINETICA,Корпоративный спорт
818,DIGINETICA,Оформление по ТК
819,DIGINETICA,Удаленка/гибрид
820,DIGITAL FUTURE SYSTEMS,Оформление по ТК
821,DIKIDI,Гибкий график
822,DIKIDI,Корпоративный спорт
823,DIKIDI,Оформление по ТК
824,DIMEX,Корпоративный мобильный
825,DIMEX,Корпоративный спорт
826,DIMEX,Оформление по ТК
827,DINS,Agile-команда
828,DINS,Гибкий график
829,DINS,ДМС
830,DINS,Корпоративный спорт
831,DINS,Оформление по ТК
832,DINS,Профессиональный рост
833,DINS,Удаленка/гибрид
834,DIS Group,Agile-команда
835,DIS Group,ДМС
836,DIS Group,Корпоративный мобильный
837,DIVAN BOSS,Оформление по ТК
838,DIVAN BOSS,Удаленка/гибрид
839,DLine Media,Гибкий график
840,DLine Media,Удаленка/гибрид
841,DM Basis,Гибкий график
842,DM Basis,Удаленка/гибрид
843,DOCTU,Гибкий график
844,DOCTU,Корпоративный спорт
845,DOCTU,Оформление по ТК
846,"DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)",ДМС
847,"DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)",Корпоративный английский
848,"DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)",Оформление по ТК
849,"DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)",Удаленка/гибрид
850,DONTECO,Гибкий график
851,DONTECO,Оформление по ТК
852,DPD в России,Agile-команда
853,DPD в России,Гибкий график
854,DPD в России,ДМС
855,DPD в России,Корпоративный спорт
856,DPD в России,Профессиональный рост
857,DPD в России,Удаленка/гибрид
858,DS COMM.(OPPO),Оформление по ТК
859,DSSL,Agile-команда
860,DSSL,Гибкий график
861,DSSL,Оформление по ТК
862,DSSL,Профессиональный рост
863,DSSL,Удаленка/гибрид
864,DYNINNO Financial Technologies,Оформление по ТК
865,Daminion Software,Удаленка/гибрид
866,Damoov,Удаленка/гибрид
867,Dankolab,Гибкий график
868,Dankolab,Корпоративный спорт
869,Dankolab,Удаленка/гибрид
870,Danone в России,ДМС
871,Danone в России,Оформление по ТК
872,Danone в России,Удаленка/гибрид
873,Darvin Studio,Оформление по ТК
874,Darvin Studio,Удаленка/гибрид
875,Data Armor,Корпоративный спорт
876,DataArt,Agile-команда
877,DataArt,Гибкий график
878,DataArt,Профессиональный рост
879,DataArt,Удаленка/гибрид
880,DataData,Оформление по ТК
881,DataFork,Agile-команда
882,DataFork,Гибкий график
883,DataFork,Удаленка/гибрид
884,"DataLine, Компания",Корпоративный спорт
885,DataSpace,Корпоративный мобильный
886,DataWorks,Оформление по ТК
887,DataWorks,Удаленка/гибрид
888,Datacrafts,Гибкий график
889,Datacrafts,Удаленка/гибрид
890,Dataduck,Гибкий график
891,Dataduck,ДМС
892,Dataduck,Корпоративный спорт
893,Daylight,Оформление по ТК
894,Daylight,Удаленка/гибрид
895,De Cecco Russia,ДМС
896,De Cecco Russia,Удаленка/гибрид
897,DeNet,Agile-команда
898,Decart IT-production,ДМС
899,Decart IT-production,Удаленка/гибрид
900,Defa Group,Корпоративный спорт
901,Defa Group,Оформление по ТК
902,Defa Group,Удаленка/гибрид
903,Dekovir match-3 studio (ООО ДКВ ГЕЙМЗ),Удаленка/гибрид
904,Deliver,ДМС
905,Deliver,Корпоративный спорт
906,Deliver,Оформление по ТК
907,Deliver,Удаленка/гибрид
908,Delko,Корпоративный спорт
909,Delko,Оформление по ТК
910,Delta Solutions,Гибкий график
911,Delta Solutions,Оформление по ТК
912,Demis Group,Корпоративный спорт
913,Demis Group,Оформление по ТК
914,Demis Group,Удаленка/гибрид
915,Densure,Удаленка/гибрид
916,DentalFantasy,Удаленка/гибрид
917,Dentex,Оформление по ТК
918,Deus Craft,Гибкий график
919,Deus Craft,ДМС
920,Deus Craft,Оформление по ТК
921,Deus Craft,Удаленка/гибрид
922,Deutsche Bank Technology Center,Agile-команда
923,Deutsche Bank Technology Center,ДМС
924,Deutsche Telekom IT Solutions (ex.T-Systems),Agile-команда
925,Developer Soft,Корпоративный спорт
926,Devexperts,Agile-команда
